"imdb_id","genre_id"
"tt0488478",7
"tt0488478",9
"tt0488478",26
"tt0453562",5
"tt0453562",9
"tt0453562",25
"tt0381844",9
"tt0303593",19
"tt0450385",15
"tt0086837",18
"tt0086837",23
"tt0086837",26
"tt1190080",1
"tt1190080",3
"tt1190080",23
"tt0147800",6
"tt0147800",9
"tt0147800",22
"tt0417385",9
"tt3148266",3
"tt3148266",9
"tt3148266",18
"tt2024544",5
"tt2024544",9
"tt2024544",14
"tt1542344",3
"tt1542344",5
"tt1542344",9
"tt0103594",3
"tt0103594",5
"tt0103594",9
"tt0179626",1
"tt0179626",7
"tt0179626",9
"tt0974661",6
"tt0974661",9
"tt0974661",11
"tt0062622",18
"tt0062622",23
"tt0307901",7
"tt0307901",9
"tt1622547",1
"tt1622547",6
"tt1622547",7
"tt0914837",7
"tt0914837",9
"tt0083511",1
"tt0083511",6
"tt0083511",7
"tt1833204",24
"tt1833204",7
"tt1833204",9
"tt1022603",6
"tt1022603",9
"tt1022603",22
"tt0298203",9
"tt0298203",16
"tt0134273",7
"tt0134273",9
"tt0134273",18
"tt0104257",9
"tt0104257",26
"tt1019452",6
"tt1019452",9
"tt0212720",3
"tt0212720",9
"tt0212720",23
"tt0094602",1
"tt0094602",7
"tt0094602",9
"tt0118548",1
"tt0118548",7
"tt0118548",9
"tt0096754",3
"tt0096754",9
"tt0096754",23
"tt0109040",6
"tt1441235",8
"tt1441235",24
"tt0101272",6
"tt0101272",11
"tt1385826",22
"tt1385826",23
"tt1385826",26
"tt0118564",9
"tt0118564",18
"tt0118564",26
"tt0302297",6
"tt0838247",9
"tt0838247",15
"tt0838247",18
"tt0088683",9
"tt0088683",18
"tt0118571",1
"tt0118571",3
"tt0118571",9
"tt0080339",6
"tt0103639",4
"tt0103639",3
"tt0103639",6
"tt0248667",5
"tt0248667",9
"tt0248667",25
"tt0078748",15
"tt0078748",23
"tt0349773",8
"tt0094631",1
"tt0094631",7
"tt0094631",23
"tt0471072",1
"tt0471072",3
"tt0471072",23
"tt0118583",1
"tt0118583",15
"tt0118583",23
"tt0090605",1
"tt0090605",15
"tt0090605",23
"tt0042192",6
"tt0042192",9
"tt0881891",6
"tt0881891",22
"tt0405676",9
"tt0405676",26
"tt0074119",5
"tt0074119",9
"tt0074119",14
"tt0181875",3
"tt0181875",6
"tt0181875",9
"tt0369226",15
"tt0369226",23
"tt0086879",5
"tt0086879",9
"tt0086879",16
"tt1129445",3
"tt1129445",5
"tt1129445",9
"tt0169547",9
"tt0169547",22
"tt0765429",5
"tt0765429",7
"tt0765429",9
